,University,World rank,Address,Telephone,Gender,International admission,Selection type,Control type,Entity type,affiliations,Departments,Features
222,École supérieure des technologies et des affaires de Belfort,world rank  8228,"3 Rue du Dr Frery
Belfort
90000 Bourgogne-Franche-Comte
France",+33 (0)3 84 54 53 53,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'financial aid']"
223,École Supérieure des Technologies Industrielles Avancées,world rank  5896,"Technopole Izarbel
Bidart
64210 Nouvelle-Aquitaine
France",+33 (0)5 59 43 84 00,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
224,"École Supérieure d'Informatique, Électronique, Automatique",world rank  3380,"9, Rue Vésale
Paris
75005 Ile-de-France
France",+33 (0)1 43 90 21 21,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Not reported,Union des Grandes Ecoles indépendantes (UGEI),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
225,École Supérieure d'Ingénieurs des Travaux de la Construction de Caen,world rank  7404,"Campus 2 - 1, rue Pierre et Marie Curie
Épron
14610 Normandie
France",+33 (0)2 31 46 23 00,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,Union des Grandes Ecoles indépendantes (UGEI),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
226,École Supérieure d'Ingénieurs des Travaux de la Construction de Metz,world rank  9775,"6, Rue Marconi
Metz
57070 Grand Est
France",+33 (0)3 87 76 44 50,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,Union des Grandes Ecoles indépendantes (UGEI),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
227,École Supérieure d'Ingénieurs des Travaux de la Construction de Paris,world rank  9357,"79 avenue Aristide Briand CS80433
Arcueil
94234 Ile-de-France
France",+33 (0)1 81 80 15 15,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,Union des Grandes Ecoles indépendantes (UGEI),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
228,École Supérieure d'Ingénieurs en Génie Électrique,world rank  3694,"Technopole du Madrillet, Avenue Galilée; Boîte Postale 10024
Saint-Étienne-du-Rouvray
76800 Normandie
France",+33 (0)2 32 91 58 58,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,Union des Grandes Ecoles indépendantes (UGEI),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'career services']"
229,École Supérieure d'Ingénieurs Léonard de Vinci,world rank  5806,"Pôle Universitaire Léonard de Vinci
Paris La Défense
92916 Ile-de-France
France",+33 (0)1 41 16 71 72,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,Union des Grandes Ecoles indépendantes (UGEI),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
230,École Superieure d'Ingénieurs Privée de Gafsa,world rank  12736,"Campus Universitaire Zarrouk
Gafsa
2112 Gafsa
Tunisia",+216 76211930,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,For-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'financial aid', 'career services']"
231,École Supérieure du Bâtiment,world rank  12904,"Boîte postale 16577
Dakar
Dakar
Senegal",+221 33 824 0218,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
232,École Supérieure du Bois,world rank  5719,"Rue Christian Pauc; Boîte Postale 10605
Nantes
44306 Pays de la Loire
France",+33 (0)2 40 18 12 12,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,Union des Grandes Ecoles indépendantes (UGEI),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
233,École Supérieure du Commerce Extérieur,world rank  6012,"10 rue Sextius Michel
Paris
75015 Ile-de-France
France",+33 (0)1 84 14 02 98,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,For-Profit,Union des Grandes Ecoles Indépendantes (UGEI),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'financial aid']"
234,École Supérieure en Informatique,world rank  11327,"Boîte Postale 73, Bureau de poste EL WIAM
Sidi Bel Abbès
22016 Sidi Bel Abbes
Algeria",+213 (48) 749 452,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
235,"École Supérieure en Ingénierie de l'Information, Télécoms, Management et Génie Civil",world rank  10950,"4-6, Rue Moussa Bnou Nouceir Bd Moulay Youssef Quartier Gautier
Casablanca
Casablanca-Settat
Morocco",+212 522 260 260,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
236,École Supérieure en Sciences Appliquées de Tlemcen,world rank  11811,"Boîte Postale 165 RP Bel Horizon
Tlemcen
13000 Tlemcen
Algeria",+213 (43) 415 543,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Not reported,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
237,École Supérieure en Sciences Biologiques d'Oran,world rank  11776,"Cité du Chercheur (Ex- IAP), Essenia -Oran. Boîte Postale 1042, Saim Mohamed 31003
Oran
31003 Oran
Algeria",+213 (41) 519 114,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,Comité Pédagogique National des Ecoles (SNV),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities', 'financial aid']"
238,École Supérieure Jean Michel le FAUCON,world rank  Un,"BP 211
Abomey-Calavi
Atlantique
Benin",+229 (21) 360 343,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
239,École Supérieure Polytechnique Internationale Privée de Sfax,world rank  12500,"Technopôle de Sfax, Route de Tunis km 10 Cité El Ons; Boîte Postale 348
Sfax
3021 Sfax
Tunisia",+216 74860222,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
240,École Supérieure Polytechnique Privée de Monastir,world rank  12658,"Avenue Taieb M’hiri
Monastir
5000 Monastir
Tunisia",+216 73425955,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
241,École Supérieure Polytechnique Privée de Sousse,world rank  11648,"Rue Khlifa Karoui - Immeuble Zaàtir
Hammam Sousse
4054 Sousse
Tunisia",+216 73277877,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
242,École Supérieure Privée d'Administration des Affaires et de Droit Avicenne,world rank  11235,"90, Avenue Mohamed V
Tunis
1002 Tunis
Tunisia",+216 71282329,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,For-Profit,Association to Advance Collegiate Schools of Business (AACSB International),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities', 'financial aid', 'career services']"
243,"École Supérieure Privée d'Architecture, d'Audiovisuel et de Design",world rank  12385,"1 Rue Baudelaire El Omrane
Tunis
1005 Tunis
Tunisia",+216 957004,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,For-Profit,no-data,"École Supérieure Privée d'Architecture, d'Audiovisuel et de Design
|
School of Architecture School of Design School of Audiovisual and Cinema","['library', 'housing', 'sports facilities', 'financial aid', 'career services']"
244,École Supérieure Privée d'Assurance et de Finance,world rank  13189,"Immeuble H Résidence du Lac, Les Berges du Lac
Tunis
1053 Tunis
Tunisia",+216 71960012,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
245,École Supérieure Privée de l'Aéronautique et des Technologies,world rank  12129,"15, Rue de l’Usine - Charguia II
Tunis
2035 Tunis
Tunisia",+216 71940422,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
246,École Supérieure Privée de Technologie et de Management,world rank  12349,"22, Avenue de Madrid
Tunis
1001 Tunis
Tunisia",+216 71 336 888,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,For-Profit,"Association of African Universities (AAU)
Global Development Alliance for Asia and Africa
Association Internationale et Interdisciplinaire de la Decision (A2ID)
Federation for EDucation in Europe (FEDE)
Fédération Euro-méditerranéenne de l'enseignement et de la recherche (FEMER)
Association Developpement Recherche Innovation (ADRI)","École Supérieure Privée de Technologie et de Management
|
Business School Engineering Shool Supagro Suptech","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning', 'career services']"
247,École Supérieure Privée des Etudes Administratives et Commerciales,world rank  11950,"Angle Rue Ibn Badis et Avenue d’Algérie Immeuble Fendri
Sfax
3000 Sfax
Tunisia",+216 74 222 550,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
248,École Supérieure Privée des Technologies de l'Information et de Management de Nabeul,world rank  11760,"Avenue Dali Jezi - Route de Hammamet
Nabeul
8000 Nabeul
Tunisia",+216 72233777,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
249,École Supérieure Privée des Technologies d'Informatique et de Management,world rank  12104,"28, Rue de Dakar - Avenue del’environnement - El Kantaoui
Hammam Sousse
4089 Sousse
Tunisia",+216 73347421,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
250,École Supérieure Privée des Technologies et Ingénierie,world rank  11434,"08 Rue Newton Z.I Chotrana II
Ariana
2088 Ariana
Tunisia",+216 23 814 000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Not reported,no-data,"École Supérieure Privée des Technologies et Ingénierie
|
ICT Engineering School IT Preparatory School","['sports facilities', 'financial aid', 'distant learning']"
251,École Supérieure Privée d'Informatique et d’Administration des Affaires,world rank  11471,"Zone Industrielle Kheireddine
Le Kram
2015 Tunis
Tunisia",+216 71182625,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
252,École Supérieure Privée d'Ingénierie et de Technologie,world rank  7444,"Zone Industrielle - Choutrana II; Boîte Postale 160, Pôle technologique El Ghazala
Ariana
2083 Ariana
Tunisia",+216 70685685,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
253,École Supérieure Privée d'Ingénierie et de Technologie Appliquée,world rank  12627,"Avenue de la Liberté; Boîte Postale 329 Sahloul
Sousse
4054 Sousse
Tunisia",+216 73821308,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
254,École Supérieure Privée d'Ingénieurs de Monastir,world rank  12919,"Boîte Postale 104 Boulevard de l'Environnement
Monastir
5060 Monastir
Tunisia",+216 73 500 200,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
255,École Supérieure Sainte Félicité,world rank  13289,"Behind Pharmacy Abattoir, opposite black and white hotel
Cotonou
Littoral
Benin",+229 (99) 565 9241,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
256,Economics and Finance Institute,world rank  10979,"Street 134, Sangkat Phsar Depo II, Khan Toul Kork
Phnom Penh
12154 Phnom Penh
Cambodia",+855 (23) 555 2569,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
257,ECPI University,world rank  2484,"5555 Greenwich Road
Virginia Beach
23462 Virginia
United States",+1 (757) 490 9090,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Private,For-Profit,no-data,Novateur Education,['Not reported']
258,Eden University,world rank  12923,"Balastone
Lusaka
Lusaka
Zambia",+260 977 794 995,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
259,Edge Hill University,world rank  1618,"St Helens Road
Ormskirk
L39 4QP North East England
United Kingdom",+44 (1695) 575 171,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,Universities UK,"Edge Hill University
|
Faculty of Education Faculty of Health and Social Care Faculty of Arts and Sciences","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning']"
260,Edgewood College,world rank  2790,"1000 Edgewood College Drive
Madison
53711-1997 Wisconsin
United States",+1 (608) 663 4861,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Accreditation Council for Business Schools and Programs (ACBSP)
Council for the Accreditation of Educator Preparation (CAEP)","Council of Independent Colleges (CIC)
Association of Catholic Colleges and Universities (ACCU)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
261,Edinboro University of Pennsylvania,world rank  2357,"219 Meadville Street
Edinboro
16444-0001 Pennsylvania
United States",+1 (814) 732 2000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public State,Non-Profit,"Commission on Collegiate Nursing Education (CCNE)
Accreditation Council for Business Schools and Programs (ACBSP)
Computing Accreditation Commission (CAC) of ABET
American Speech-Language-Hearing Association (ASHA), Council on Academic Accreditation in Audiology and Speech-Language Pathology","Pennsylvania State System of Higher Education (PASSHE)
National Athletic Association (NAA)
National Collegiate Athletic Association (NCAA)",['Not reported']
262,Edinburgh Napier University,world rank  870,"Sighthill Campus, Sighthill Court
Edinburgh
EH11 4BN Scotland
United Kingdom",+44 (333) 900 6040,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,"Association of Commonwealth Universities (ACU)
European University Association (EUA)
MillionPlus
Universities UK","Edinburgh Napier University
|
Business School Faculty of Engineering, Computing and Creative Industries Faculty of Health, Life and Social Sciences Scottish Screen Academy","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning']"
263,Edith Cowan University,world rank  623,"270 Joondalup Drive
Joondalup
6027 Western Australia
Australia",+61 (0)8 6304 0000,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,"Universities Australia
Association of Southeast Asian Institutions of Higher Learning (ASAIHL)","Edith Cowan University
|
School of Arts and Humanities School of Business and Law School of Education School of Engineering School of Medical and Health Sciences School of Nursing and Midwifery School of Science Western Australian Academy of Performing Arts ECU South West","['library', 'housing', 'sports facilities', 'financial aid', 'distant learning', 'career services']"
264,Edo University,world rank  9523,"Km 7, Auchi-Abuja Road; PMB 04, Auchi
Iyamho
Edo
Nigeria",+234 (806) 552 8915,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
265,Edogawa University,world rank  4572,"474 Komaki
Nagareyama
270-0198 Chiba
Japan",+81 (471) 520 660,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
266,EDP University,world rank  8912,"560 Ponce de Leon Avenue Cr. Arroyo Street
Hato Rey
00918
Puerto Rico",+1 (787) 765 3560,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,Consejo de Educación de Puerto Rico (CEPR),EDP University of Puerto Rico Inc.,['Not reported']
267,Edrak Institute of Higher Education,world rank  13292,"First part of Khair Khana
Kabul
27000 Kabul
Afghanistan",+93 (78) 990 3190,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,For-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
268,Edutus Egyetem,world rank  7820,"Stúdium tér Pf. 181
Tatabánya
2800 Komarom-Esztergom
Hungary",+36 (34) 520 400,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
269,Edward Bernays Visoka škola za komunikacijski menadžment,world rank  9877,"Ratkajev prolaz 8
Zagreb
10000 Zagreb
Croatia",+385,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['Not reported']
270,Edward Waters College,world rank  3915,"1658 Kings Road
Jacksonville
32209 Florida
United States",+1 (904) 470 8000,Men and Women (coed),Historically Black Institution,"Yes, international applicants are welcome to apply for admission",Private,Non-Profit,no-data,"National Athletic Association (NAA)
National Association of Intercollegiate Athletics (NAIA)",['Not reported']
271,Edwin Clark University,world rank  12247,"Private Mailbox 101, Ughelli
Kiagbodo
Delta
Nigeria",+234 (816) 779 0576,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Edwin Clark University
|
Faculty of Law Faculty of Science Faculty of Humanities, Management and Social Sciences",['library']
272,EELK Usuteaduse Instituut,world rank  9614,"Pühavaimu 6
Tallinn
10123 Harju County
Estonia",+372 611 7400,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Private,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
273,Eesti Ettevõtluskõrgkool Mainor,world rank  7259,"Suur-Sõjamäe 10a
Tallinn
11415 Harju County
Estonia",+372 610 1900,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
274,Eesti Kunstiakadeemia,world rank  3273,"Põhja pst 7
Tallinn
10412 Harju County
Estonia",+372 626 7301,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Eesti Kunstiakadeemia
|
Faculty of Design Faculty of Fine Arts Faculty of Architecture Faculty of Art and Culture","['library', 'housing', 'sports facilities', 'financial aid']"
275,Eesti Lennuakadeemia,world rank  9090,"Lennu 40
Reola
61707 Tartu County
Estonia",+372 744 8100,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
276,Eesti Maaülikool,world rank  3446,"Kreutzwaldi 1
Tartu
51014 Tartu County
Estonia",+372 731 3001,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'housing', 'sports facilities', 'financial aid']"
277,Eesti Muusika- ja Teatriakadeemia,world rank  5802,"Tatari 13
Tallinn
10116 Harju County
Estonia",+372 667 5700,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities']"
278,Effat University,world rank  5409,"PO Box 34689
Jeddah
21478 Makkah
Saudi Arabia",+966 12 213 7566,Women Only,"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Non-Profit,"Association of American Colleges and Universities (AACU)
Institute of International Education (IIE)
Global Liberal Arts Alliance (GLAA)
Talloires Network
World Family Organization
International Association of University Presidents (IAUP)
International Association of Universities (IAU)
European Association for International Education (EAIE)
Association of International Educators (NAFSA)
Association of American International Colleges and Universities (AMICAL)
MA'AN Alliance/Network
CHEA International Quality Group (CIQG)
Student Affairs Administrators in Higher Education (NASPA)
American Council on Education (ACE)
United Nations Academic Impact (UNAI)","Effat University
|
College of Humanities College of Business College of Engineering College of Architecture and Design","['library', 'housing', 'sports facilities', 'financial aid', 'career services']"
279,Ege Üniversitesi,world rank  1174,"Ege Üniversitesi Rektörlügü Gençlik Caddesi No:12, Bornova
Izmir
35040 Izmir
Turkey",+90 (232) 311 1010,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.","['library', 'sports facilities', 'distant learning']"
280,Egerton University,world rank  4429,"Nakuru/Njoro Road; PO Box 536
Njoro
20115 Nakuru
Kenya",+254 (51) 221 7891,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","None, open admission policy",Public,Non-Profit,Association of Commonwealth Universities (ACU),"Egerton University
|
Faculty of Agriculture Faculty of Arts and Social Sciences Faculty of Commerce Faculty of Education Faculty of Education and Human Resources Faculty of Engineering and Technology Faculty of Environmental Studies and Resource Development Faculty o","['library', 'sports facilities', 'distant learning']"
281,Egyptian Chinese University,world rank  10992,"Gesr ElSuez st. After Tagneed Bridge Abo Ghazala Buildings, Heliopolis
Cairo
Cairo
Egypt",+20 (2) 2635 1964,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Private,Not reported,Supreme Council of Universities (SCU),"Egyptian Chinese University
|
Faculty of Engineering and Technology Faculty of Economics and International Trade Faculty of Physical Therapy Faculty of Pharmacy and Medical Technology","['sports facilities', 'financial aid']"
282,Egyptian Russian University,world rank  10493,"Cairo-Suez Roadway
Badr
11829 Cairo
Egypt",+20 (2) 2864 3340,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,Supreme Council of Universities (SCU),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
283,Egypt-Japan University of Science and Technology,world rank  7718,"PO Box 179
New Borg El Arab
21934 Alexandria
Egypt",+20 (3) 459 9520,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,Supreme Council of Universities (SCU),"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
284,Ehime Prefectural University of Health Sciences,world rank  8175,"Tobe
Ehime
Japan",+81,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
285,Ehime University,world rank  7685,"3 Bunkyo-cho
Matsuyama
790-8577 Ehime
Japan",+81 (89) 927 9157,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,no-data,"Ehime University
|
Faculty of Agriculture Faculty of Education Faculty of Engineering Faculty of Law and Letters Faculty of Science School of Medicine","['library', 'housing', 'sports facilities', 'financial aid']"
286,Eidgenössische Technische Hochschule Zürich,world rank  48,"Rämistrasse 101
Zürich
8092 Zurich
Switzerland",+41 (44) 632 1111,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on students' past academic record and grades",Public,Non-Profit,"European University Association (EUA)
International Alliance of Research Universities (IARU)
Conference of European Schools for Advanced Engineering Education and Research (CESAER)
IDEA League
Open Education Consortium (OEC)","Eidgenössische Technische Hochschule Zürich
|
Department of Architecture Department of Civil, Environmental and Geomatic Engineering Department of Biosystems Science and Engineering Department of Computer Science Department of Information Technology and Electrical Engineering Department of Mechanical and Process Engineering Department of Materials Science Department of Biology Department of Chemistry and Applied Biosciences Department of Mathematics Department of Physics Department of Earth Sciences Department of Environmental Systems Science Department of Health Sciences and Technology Department of Management, Technology and Economics Department of Humanities, Social and Political Sciences","['library', 'housing', 'sports facilities', 'financial aid', 'career services']"
287,EIILM University,world rank  10799,"8th Mile, Budang
Jorethang
737 121 Sikkim
India",+91 9735912111,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
288,"Ekiti State University, Ado Ekiti",world rank  9641,"Ado-Iworoko Road, PMB 5363
Ado-Ekiti
360101 Ekiti
Nigeria",+234 (808) 550 3802,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations and students' past academic record and grades",Public,Non-Profit,Association of Commonwealth Universities (ACU),"Ekiti State University, Ado Ekiti
|
College of Medicine Faculty of Agriculture Faculty of Arts Faculty of Education Faculty of Engineering Faculty of Law Faculty of Science Faculty of Social Science Faculty of Management;","['library', 'housing', 'sports facilities', 'financial aid', 'career services']"
289,Eko University of Medical and Health Sciences,world rank  12860,"Km 28 Ijanikin, Badagry Express Way
Ijanikin
Lagos
Nigeria",+234,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Eko University of Medical and Health Sciences
|
College of Basic Medical Sciences College of Clinical Sciences",['library']
290,Ekonomická univerzita v Bratislave,world rank  4399,"Dolnozemská cesta 1/b
Bratislava
852 35 Bratislava
Slovakia",+421 (2) 6241 1478,Men and Women (coed),"Yes, international applicants are welcome to apply for admission","Yes, based on entrance examinations",Public,Non-Profit,"European University Association (EUA)
Association to Advance Collegiate Schools of Business (AACSB International)","Ekonomická univerzita v Bratislave
|
Faculty of Applied Languages Faculty of Business Economy in Košice Faculty of Business Management Faculty of Commerce Faculty of Economic Informatics Faculty of International Relations Faculty of National Economy","['library', 'housing', 'sports facilities', 'career services']"
291,Ekonomikas un kulturas augstskola,world rank  7662,"Lomonosova 1, korp. 1
Riga
1019 Riga
Latvia",+371 (7) 114111,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Private,Not reported,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
292,El Colegio de Chihuahua,world rank  10468,"Calle Partido Díaz 4723 esquina con Anillo Envolvente del PRONAF, colonia Progresista
Ciudad Juárez
32310 Chihuahua
Mexico",+52 (656) 639 0397,Men and Women (coed),"Yes, international applicants are welcome to apply for admission",Not reported,Public,Non-Profit,no-data,"Not available; please submit a list of official first level academic divisions such as faculties, departments etc.",['library']
